label,group
logical_reasoning,reasoning
temporal_reasoning,reasoning
math,reasoning
medical,specialized_domain
legal,specialized_domain
finance,specialized_domain
industrial,specialized_domain
e_commerce,specialized_domain
society_culture,specialized_domain
linguistics,specialized_domain
sports,specialized_domain
music,specialized_domain
humour,specialized_domain
games,specialized_domain
reading_comprehension,language_processing
language_understanding,language_processing
language_modelling,language_processing
sentiment,language_processing
text_classification,language_processing
information_extraction,language_processing
natural_language_inference,language_processing
summarization,generation
translation,generation
data_to_text,generation
creativity,generation
professional_writing,generation
dialogue,generation
news,source_genre
social_media,source_genre
fiction,source_genre
encyclopedic,source_genre
structured_data,source_genre
safety,alignment
instruction_following,alignment
output_evaluation,alignment
fact_verification,alignment
factuality,alignment
toxicity,alignment
bias_fairness,alignment
moral_values,alignment
linguistic_competence,language_processing
theory_of_mind,cognitive
social_intelligence,cognitive
emotional_intelligence,cognitive
