model_id,model_name,model_family,developer,sizes,types,benchmark_count,total_results,avg_score,model_type,model_size,provider,type,base_model,year_evaluated,inference_platform,inference_engine,organization,release_date,architecture,context_window,license,url,parameters_billion,release_date_source
Llama 4 Maverick,Llama 4 Maverick,llama,Meta,,"closed,open",12.0,12.0,156.08,open,,,,,,,,,2025-04,,,,,,hf_createdat
o3-mini,o3-mini,o3,OpenAI,,closed,18.0,18.0,121.49,,,,,,,,,,2025-01,,,,,,web_verified
o1-preview,o1-preview,o1,OpenAI,,closed,7.0,7.0,237.60,,,,,,,,,,2024-09,,,,,,web_cited
Claude 3 Opus,Claude 3 Opus,claude,Anthropic,,closed,52.0,54.0,121.89,closed,,,,,,,,,2024-03,,,,,,web_verified
GPT-4o,GPT-4o,gpt,OpenAI,,closed,169.0,181.0,66.18,closed,,,,,,,,,2024-05,,,,,,web_verified
GPT-4 Turbo,GPT-4 Turbo,gpt,OpenAI,,closed,12.0,12.0,161.73,closed,,,,,,,,,2023-11,,,,,,corroborated_month
Llama 3.2 90B Instruct,Llama 3.2 90B Instruct,llama,Meta,90B,open,1.0,1.0,86.90,open,,,,,,,,,2024-09,,,,,,hf_createdat
Claude 3.5 Haiku,Claude 3.5 Haiku,claude,Anthropic,,closed,77.0,82.0,61.88,closed,,,,,,,,,2024-10,,,,,,web_verified
Claude 3 Sonnet,Claude 3 Sonnet,claude,Anthropic,,closed,45.0,45.0,122.59,closed,,,,,,,,,2024-03,,,,,,web_verified
Gemini 1.5 Flash,Gemini 1.5 Flash,gemini,Google,,closed,17.0,17.0,107.30,closed,,,,,,,,,2024-05,,,,,,web_verified
Claude 3 Haiku,Claude 3 Haiku,claude,Anthropic,,closed,41.0,41.0,124.01,closed,,,,,,,,,2024-03,,,,,,web_verified
GPT-4,GPT-4,gpt,OpenAI,,closed,70.0,74.0,96.87,closed,,,,,,,,,2023-03,,,,,,corroborated_month
Llama 3.2 11B Instruct,Llama 3.2 11B Instruct,llama,Meta,11B,open,1.0,1.0,68.90,open,,,,,,,,,2024-09,,,,,,hf_createdat
BLOOMZ,BLOOMZ,BLOOM,BigScience,,open,1.0,1.0,96.30,,,,,,,,,,2022,,,,,,corroborated_year
GPT-3.5,GPT-3.5,gpt,OpenAI,,closed,13.0,13.0,60.43,closed,,,,,,,,,2022-11,,,,,,corroborated_month
Alpaca-7B,Alpaca-7B,Alpaca,Stanford,7B,open,20.0,20.0,40.78,,,,,,,,,,2023-03,,,,,,corroborated_month
Granite 3.3 8B Instruct,Granite 3.3 8B Instruct,Granite,,8B,open,6.0,6.0,86.57,,,,,,,,,,2025-04,,,,,,hf_createdat
Command R+,Command R+,Command R+,Cohere,,closed,22.0,22.0,112.65,,,,,,,,,,2024,,,,,,corroborated_year
GPT-3,GPT-3 (original),gpt,OpenAI,,closed,9.0,9.0,42.72,closed,,,,,,,,,2020,,,,,,corroborated_year
Gemma 3 27B,Gemma 3 27B,Gemma 2,Google,27B,open,22.0,24.0,42.59,,,,,,,,,,2025-03,,,,,,hf_createdat
Gemma 3 1B,Gemma 3 1B,Gemma,Google,1B,open,2.0,2.0,40.30,,,,,,,,,,2025-03,,,,,,hf_createdat
Hermes 3 70B,Hermes 3 70B,Hermes,Nous Research,70B,open,2.0,2.0,36.14,,,,,,,,,,2024-07,,,,,,hf_createdat
